relative_path,size_bytes,sha256,artifact_type,condition,canonical_reference
notebooks/06_blackmarble_peru_a100.ipynb,7065291,8353de4eff4d94cd3a68bf4a5c2e5fa90277a0ea89a8ca56e74ff6f0886b8870,notebook/ipynb,canonical,
notebooks/06_blackmarble_peru_a100_PRE_COMPARISON_BACKUP.ipynb,11157,d557384911f4a53edf1c0d217dd7b0086ee575a12919d2af1d5e8f9e8522d467,notebook/ipynb,local-only,
outputs/blackmarble_peru_2024-03-21_a100/archive/blackmarble_peru_2024-03-21_a100.zip,78727036,4b5ca18eb1646a791c695af088b4cbbeb52389cead131d0c2d3803a0ddbf4f91,archive/zip,archived,
outputs/blackmarble_peru_2024-03-21_a100/blackmarble/blackmarble_2024-03-21_log1000p1_a100_benchmarks.csv,1486,396546d74746cfc42f14683ac64dd053401a125737f9a71d57b9ca64a18e61dd,table/csv,local-only,
outputs/blackmarble_peru_2024-03-21_a100/blackmarble/blackmarble_2024-03-21_log1000p1_global.json,3588,3ec5394a6dbb396e39f147599071172b3cbc35bda3b40faa09656bffeac1974e,metadata/json,duplicate,outputs/blackmarble_peru_2024-03-21_a100/metadata/blackmarble_2024-03-21_log1000p1_global.json
outputs/blackmarble_peru_2024-03-21_a100/blackmarble/blackmarble_2024-03-21_log1000p1_local_queen.parquet,74762977,3d3ededdf43c40850d53c180bfe9de15b75993c70bc43cfa675aebbdc368778d,local-results/parquet,duplicate,outputs/blackmarble_peru_2024-03-21_a100/local_results/blackmarble_2024-03-21_log1000p1_local_queen.parquet
outputs/blackmarble_peru_2024-03-21_a100/blackmarble/blackmarble_2024-03-21_log1000p1_run_metadata.json,3026,935f46e946131e1e40a96660c5d6f99e00544cfc0d91b1aa2f33a703644e1b4d,metadata/json,duplicate,outputs/blackmarble_peru_2024-03-21_a100/metadata/blackmarble_2024-03-21_log1000p1_run_metadata.json
outputs/blackmarble_peru_2024-03-21_a100/canonical/blackmarble_2024-03-21_log1000p1_a100_comparison_canonical.csv,1484,d974cddd9bd13a2abcd969936e49c621888f27798165972f629d8d0365b3a2d6,table/csv,canonical,
outputs/blackmarble_peru_2024-03-21_a100/canonical/blackmarble_2024-03-21_log1000p1_interpretation.json,2459,986f13fcc077d46a8f2f41c1327cd618684ed54b5143d5065929a14edaae094f,metadata/json,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/a100_memory_snapshots.png,147859,3756810a607ff7e70e26925de413d87aef484647c8b2bd26ec64a7f8754493de,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/figures/a100_spatial_lag_runtime.png,97841,d5ba59ff4f7c6d7d5385f988c89f64fac71de7b2d0a4a475f22583d10e0dda04,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/figures/grid_coverage.png,47610,0979bd2610675f52ac49f8ec0a69c39b6d866744e8675113e90ae95d7ec05230,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/figures/lisa_clusters_comparison_log1000p1_fdr999.png,512635,7cd5b678db56e8a3c869a356fda817d3653b89d9fabf742ed102d86f6ee94d95,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/lisa_clusters_d2_r2_log1000p1_fdr999.png,418273,8e7b0be80bd26fd27ad1f51d9c58ae3694eefded812c69c019cc208d0cb1ae37,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/lisa_clusters_queen_log1000p1_fdr999.png,392566,98f511abb0ee286cb586dbdb4260d38105d108299df6d6cd0b6850ffad3ca684,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/lisa_clusters_rook_log1000p1_fdr999.png,272288,e142c1488fd3e8e3c6429a2ce6f6291d44bd606f67efe9c12ff890b6feee5d1d,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/lisa_quadrants_queen_log1000p1.png,662688,da194e7ff3e0cb8a7bfa8e99eeac8334495273ee5e45139e111d17bcc9f37fa9,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/figures/local_moran_queen_log1000p1.png,2234919,ec771f32d14c8fe29e44e168db288e2f49d847081735f70b343a156fe3ccd220,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/figures/moran_scatter_comparison_log1000p1_bhfdr999.png,1072698,139f9ed735b1cb18e4c067376e4b6ec1c808e124afd48ada1130d3746410b544,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/moran_scatter_d2_r2_log1000p1_bhfdr999.png,562878,c323cb7422b9cd9f03ccaa12de4fae9d0ba0c812969a9297fc07c4c88b1bb62a,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/moran_scatter_queen_log1000p1_bhfdr999.png,561861,ed6f3e54b7355535ee97d35b7b13ea51d68344d2d7373bbc82d6a84f55ef9e51,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/moran_scatter_rook_log1000p1_bhfdr999.png,554945,64040fa4b9450575cc96f53db94e64be6805c9a48bb85b3eb031fea752b1c385,figure/png,canonical,
outputs/blackmarble_peru_2024-03-21_a100/figures/ntl_log1000p1_map.png,2826331,e6d13c98d885c0c3675b5425ddeeccf77ba643821817b2281711f37b8392cb17,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/figures/ntl_raw_map.png,666063,4a28018d734d3afa0e928cf52a47ccc6c7e137ea7cb29af84ed793062d43d524,figure/png,local-only,
outputs/blackmarble_peru_2024-03-21_a100/local_results/blackmarble_2024-03-21_log1000p1_local_queen.parquet,74762977,3d3ededdf43c40850d53c180bfe9de15b75993c70bc43cfa675aebbdc368778d,local-results/parquet,canonical,
outputs/blackmarble_peru_2024-03-21_a100/metadata/blackmarble_2024-03-21_log1000p1_global.json,3588,3ec5394a6dbb396e39f147599071172b3cbc35bda3b40faa09656bffeac1974e,metadata/json,canonical,
outputs/blackmarble_peru_2024-03-21_a100/metadata/blackmarble_2024-03-21_log1000p1_run_metadata.json,3026,935f46e946131e1e40a96660c5d6f99e00544cfc0d91b1aa2f33a703644e1b4d,metadata/json,canonical,
outputs/blackmarble_peru_2024-03-21_a100/tables/a100_memory_snapshots.csv,532,977b80c6dfc11d907a7c72050815684e4555c20020d402f892b5007b5385f892,table/csv,local-only,
outputs/blackmarble_peru_2024-03-21_a100/tables/blackmarble_2024-03-21_log1000p1_a100_comparison.csv,1435,3b620639681058df23ad517ddeb999ac0cda14ba050966bdef5dd45f0f8acf6c,table/csv,local-only,
outputs/blackmarble_peru_2024-03-21_a100/tables/blackmarble_2024-03-21_log1000p1_smoke99_comparison.csv,250,91f897d72af3a7c3dd3485224f7c59a41a25deea7e568c15f8e852919b3c034c,table/csv,local-only,
outputs/blackmarble_peru_2024-03-21_a100/tables/lisa_queen_log1000p1_999_counts.csv,350,3bea32af0a3980357b909f0300b6125673a8c768d3ecd461ea59370d79dec3c5,table/csv,local-only,
outputs/blackmarble_peru_2024-03-21_a100/tables/output_manifest.csv,1607,7fefb53b782d2773715d70f2b597cb15e11d3942aef441f6368fb1435b016c13,table/csv,local-only,
